image_id,filename,filepath,split,caption,label,all_captions_json
flickr30k_0,1000092795.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000092795.jpg,train,Two young guys with shaggy hair look at their hands while hanging out in the yard.,,"[""Two young guys with shaggy hair look at their hands while hanging out in the yard."", ""Two young, White males are outside near many bushes."", ""Two men in green shirts are standing in a yard."", ""A man in a blue shirt standing in a garden."", ""Two friends enjoy time spent together.""]"
flickr30k_1,10002456.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10002456.jpg,train,Several men in hard hats are operating a giant pulley system.,,"[""Several men in hard hats are operating a giant pulley system."", ""Workers look down from up above on a piece of equipment."", ""Two men working on a machine wearing hard hats."", ""Four men on top of a tall structure."", ""Three men on a large rig.""]"
flickr30k_2,1000268201.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000268201.jpg,train,A child in a pink dress is climbing up a set of stairs in an entry way.,,"[""A child in a pink dress is climbing up a set of stairs in an entry way."", ""A little girl in a pink dress going into a wooden cabin."", ""A little girl climbing the stairs to her playhouse."", ""A little girl climbing into a wooden playhouse."", ""A girl going into a wooden building.""]"
flickr30k_3,1000344755.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000344755.jpg,train,Someone in a blue shirt and hat is standing on stair and leaning against a window.,,"[""Someone in a blue shirt and hat is standing on stair and leaning against a window."", ""A man in a blue shirt is standing on a ladder cleaning a window."", ""A man on a ladder cleans the window of a tall building."", ""Man in blue shirt and jeans on ladder cleaning windows"", ""A man on a ladder cleans a window""]"
flickr30k_4,1000366164.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000366164.jpg,train,"Two men, one in a gray shirt, one in a black shirt, standing near a stove.",,"[""Two men, one in a gray shirt, one in a black shirt, standing near a stove."", ""Two guy cooking and joking around with the camera."", ""Two men in a kitchen cooking food on a stove."", ""Two men are at the stove preparing food."", ""Two men are cooking a meal.""]"
flickr30k_5,1000523639.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000523639.jpg,train,Two people in the photo are playing the guitar and the other is poking at him.,,"[""Two people in the photo are playing the guitar and the other is poking at him."", ""A man in green holds a guitar while the other man observes his shirt."", ""A man is fixing the guitar players costume."", ""A guy stitching up another man's coat."", ""The two boys playing guitar""]"
flickr30k_6,1000919630.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1000919630.jpg,train,A man sits in a chair while holding a large stuffed animal of a lion.,,"[""A man sits in a chair while holding a large stuffed animal of a lion."", ""A man is sitting on a chair holding a large stuffed animal."", ""A man completes the finishing touches on a stuffed lion."", ""A man holds a large stuffed lion toy."", ""A man is smiling at a stuffed lion""]"
flickr30k_7,10010052.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10010052.jpg,train,A girl is on rollerskates talking on her cellphone standing in a parking lot.,,"[""A girl is on rollerskates talking on her cellphone standing in a parking lot."", ""A trendy girl talking on her cellphone while gliding slowly down the street."", ""A young adult wearing rollerblades, holding a cellular phone to her ear."", ""There is a young girl on her cellphone while skating."", ""Woman talking on cellphone and wearing rollerskates.""]"
flickr30k_8,1001465944.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001465944.jpg,train,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman.,,"[""An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman."", ""Three people are standing outside near large pipes and a metal railing."", ""A young woman walks past two young people dressed in hip black outfits."", ""A woman with a large purse is walking by a gate."", ""Several people standing outside a building.""]"
flickr30k_9,1001545525.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001545525.jpg,train,Two men in Germany jumping over a rail at the same time without shirts.,,"[""Two men in Germany jumping over a rail at the same time without shirts."", ""Two youths are jumping over a roadside railing, at night."", ""Boys dancing on poles in the middle of the night."", ""Two men with no shirts jumping over a rail."", ""Two guys jumping over a gate together""]"
flickr30k_10,1001573224.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001573224.jpg,train,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,,"[""Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window."", ""Ballet dancers in a studio practice jumping with wonderful form."", ""Five girls are leaping simultaneously in a dance practice room."", ""Five girls dancing and bending feet in ballet class."", ""A ballet class of five girls jumping in sequence.""]"
flickr30k_11,1001633352.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001633352.jpg,train,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs.,,"[""Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs."", ""Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them."", ""Four guys three wearing hats one not are jumping at the top of a staircase."", ""Four men with excited faces are jumping down from the top of stairs."", ""Four people are jumping from the top of a flight of stairs.""]"
flickr30k_12,1001773457.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001773457.jpg,train,A black dog and a white dog with brown spots are staring at each other in the street.,,"[""A black dog and a white dog with brown spots are staring at each other in the street."", ""A black dog and a tri-colored dog playing with each other on the road."", ""Two dogs of different breeds looking at each other on the road."", ""Two dogs on pavement moving toward each other."", ""A black dog and a spotted dog are fighting""]"
flickr30k_13,1001896054.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1001896054.jpg,train,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road.,,"[""A man with reflective safety clothes and ear protection drives a John Deere tractor on a road."", ""John Deere tractors cruises down a street, while the driver wears easy to see clothing."", ""A man in a neon green and orange uniform is driving on a green tractor."", ""A man in a tractor wearing headphones driving down a paved street."", ""A man driving a John Deere tractor on a main road in the country.""]"
